exp,label,seed,n_train_cx,n_train_pairs,tau,top1,train_acc,val_acc,best_val_acc,best_epoch,overfit_gap,tau_ss_class_HELIX,top1_ss_class_HELIX,tau_ss_class_SHEET,top1_ss_class_SHEET,tau_ss_class_UNUSUAL,top1_ss_class_UNUSUAL,tau_length_bucket_long,top1_length_bucket_long,tau_length_bucket_medium,top1_length_bucket_medium,tau_length_bucket_short,top1_length_bucket_short,tau_length_bucket_very_long,top1_length_bucket_very_long
A_data_scaling,frac=0.25,3,51,9690,0.239766081871345,4.111391666666666,0.7494999766349792,0.6198830604553223,0.6198830604553223,12,0.1296169161796569,,,,,,,,,,,,,,
A_data_scaling,frac=0.25,0,51,9690,0.1771929824561403,4.1580916666666665,0.7590000033378601,0.5885964632034302,0.5885964632034302,12,0.1704035401344299,,,,,,,,,,,,,,
A_data_scaling,frac=0.25,4,51,9690,0.2090643274853801,4.197841666666666,0.8274999856948853,0.6045321822166443,0.6045321822166443,15,0.2229678034782409,,,,,,,,,,,,,,
A_data_scaling,frac=0.25,2,51,9688,0.1865497076023392,4.282330555555556,0.6809999942779541,0.5932748317718506,0.5932748317718506,4,0.0877251625061035,,,,,,,,,,,,,,
A_data_scaling,frac=0.25,1,51,9689,0.2143274853801169,4.204991666666667,0.7540000081062317,0.6071637272834778,0.6071637272834778,14,0.1468362808227539,,,,,,,,,,,,,,
A_data_scaling,frac=0.50,2,102,19378,0.1915204678362573,4.434980555555555,0.7570000290870667,0.5957602262496948,0.5957602262496948,6,0.1612398028373718,,,,,,,,,,,,,,
A_data_scaling,frac=0.50,1,102,19379,0.2333333333333332,4.291980555555555,0.6865000128746033,0.6166666746139526,0.6166666746139526,5,0.0698333382606506,,,,,,,,,,,,,,
A_data_scaling,frac=0.50,0,102,19379,0.2514619883040935,4.103816666666666,0.7099999785423279,0.6257309913635254,0.6257309913635254,6,0.0842689871788024,,,,,,,,,,,,,,
A_data_scaling,frac=0.50,3,102,19379,0.2207602339181286,4.270313888888889,0.8399999737739563,0.6103801131248474,0.6103801131248474,41,0.2296198606491089,,,,,,,,,,,,,,
A_data_scaling,frac=0.50,4,102,19378,0.2722222222222222,4.158847222222223,0.7590000033378601,0.6361111402511597,0.6361111402511597,8,0.1228888630867004,,,,,,,,,,,,,,
A_data_scaling,frac=0.75,0,153,29068,0.2347953216374269,4.337308333333333,0.7024999856948853,0.617397665977478,0.617397665977478,5,0.0851023197174072,,,,,,,,,,,,,,
A_data_scaling,frac=0.75,1,153,29067,0.2789473684210526,4.134841666666666,0.7269999980926514,0.6394736766815186,0.6394736766815186,7,0.0875263214111328,,,,,,,,,,,,,,
A_data_scaling,frac=0.75,2,153,29068,0.2388888888888888,4.057041666666667,0.7145000100135803,0.6194444298744202,0.6194444298744202,3,0.0950555801391601,,,,,,,,,,,,,,
B_vary_complexes,n_cx=30_fixed_pairs,0,30,1980,0.1421052631578947,4.350130555555555,0.6373737454414368,0.571052610874176,0.571052610874176,7,0.0663211345672607,,,,,,,,,,,,,,
B_vary_complexes,n_cx=30_fixed_pairs,1,30,1980,0.1921052631578947,4.259444444444444,0.6176767945289612,0.5960526466369629,0.5960526466369629,10,0.0216241478919982,,,,,,,,,,,,,,
A_data_scaling,frac=0.75,3,153,29068,0.2459064327485379,4.153691666666666,0.7264999747276306,0.6229532361030579,0.6229532361030579,8,0.1035467386245727,,,,,,,,,,,,,,
A_data_scaling,frac=0.75,4,153,29067,0.2766081871345029,4.090822222222221,0.7434999942779541,0.6383041143417358,0.6383041143417358,5,0.1051958799362182,,,,,,,,,,,,,,
B_vary_complexes,n_cx=30_fixed_pairs,2,30,1980,0.2084795321637426,4.172119444444444,0.8040404319763184,0.6042397618293762,0.6042397618293762,48,0.1998006701469421,,,,,,,,,,,,,,
B_vary_complexes,n_cx=30_fixed_pairs,3,30,1980,0.2093567251461988,4.201383333333333,0.7565656304359436,0.6046783328056335,0.6046783328056335,35,0.15188729763031,,,,,,,,,,,,,,
